2026-07-25 02:22:54 | steps=23565 | digits=1026 | max_val_digits=1026 | n=485127925281701302851225601432825569016432134474059528189410922708587161967858425460994886850172740059605370084122577227111095663500322235660315623357450221587022635327897901147751379282993936489317420632751743965571577865730544404051582270025248611088939469925778029869076882451481608407009175820542136724298515499040537938161384646914299546562841126492357663723767821602414629112473055761493002641069494244179594259268699952351724360318785997092198751821156717895495631622576877313233900334269537327057831599373522645852127958835833220782509314565379717842057373999877799606718859460258516865455500771982199362917740587947933634563420699028590692886165325274504852592916610388002351595886045566932782452248932930122758170592463258000599991602055001716677015193292552666225402471203163290836797244075840179572709178634675857633808958606453384275970282460292396552582236738438712121353261097640575635418578808091255102347350533075086145420570389568658917649322981360863188398854194753076965592716461456860468440130986972447237
2026-07-25 02:22:54 | steps=24632 | digits=1026 | max_val_digits=1026 | n=310967265741637916500039617851263658865194780590693565885191979304706823493940423202674756060977625100102257264530330104848169687216086194097704484099324856661519632352977568637967350221909996588828129046352280390037513769797073501347099195075794418929095004694907997110459242630299692767481686043127154023093875553605754339796217001068793100798322634103368636114633593707625679766796407038759369139551292470023357924502433025846417959415890836814878467426566730506405405920195326851921070050475938121901158693346529626320357601062506115951267669747545128560190797247929935995525941287764808305020631368848876650819609674950588915958677347278024455307560302930782755581570485646754113464146840067742887284770973545494412620905766685435979263780597259280143283434529063829471355760774369348353367654988850942251813377299124989849028060903530368826958481857757128685036360799390020758413728423549680357533635472819104623789111294159651176729838901858577856404649718331653086351936626554150204754129988918886911321340040669789271
2026-07-25 02:22:54 | steps=24669 | digits=1026 | max_val_digits=1026 | n=540150842771765944983989261143540904271298062238782434533021508289353510489977695952110006572271900659872179558711008038612844671065723236869579324234179241776943590294566334436004142903987084696450444621853608381289849833339463166435239863344707787518127671631420162222624306412217953607925937781688565291837867634274424426003040088654842966466256748305877179091474415326221831972707120192600914858536618529408694441520718977169825114867324873199141704666501221501814982758001367787428478671626237625735106361400118022815776269367218917696990910888976118968636182140159939054810563314005222610585830639516898185973350137511771128849108877238993184443768807190019658653691697550150652936478931667782145886883029461919887809819885712510460228698520569466996130285292753135435110865361466899675390748622182226558509656199706643230025695245249156252079636506130133237028755208622130903797280044190399490703443287665242836498101780315411358059010669539781241673116449812330048914064525358235580176962791462126051481191309921984791
2026-07-25 02:22:54 | steps=24894 | digits=1026 | max_val_digits=1026 | n=561986147020902710467213200363752341838981381013495736806459585837348847513032646938778401578743992795679131250738498011536956707492553270103341119966147846828659387118705586611881717573005275387761919954825600111602636186585784731114722617743769071989343911621598378989348944177608047203794526741771746921600832875706421901423825495289527372774701034140509439155881244141968898459826676392702680044394103042112192065150765653302405294537826517408485298928034176993891881606004160413160833882620223909354467044111020463672012170599065538485852790467142989751791875097270486723318877885206266415023575780210046667289182956036413438882751542083190148209626910500272080626809258331781019608655874222407438286637621142946084000148722300193109794687743498431561966365321901157613508006655298946282818319467173418626519386800083480047214909607513964553601489425385079505165937352512005834017021458549515504458676520735582144437929390649215284153208524394063631732635917505222702925513626707988848963196739927834971550186026137257483
2026-07-25 02:22:54 | steps=24913 | digits=1026 | max_val_digits=1026 | n=184527956924929886138982374687216999262616606189238884846208812751183355701203066915685516681863141500782851440788877457103595749021539795683123090729710029168862303764808864118750589076595746302736441212752792932862524965687415025267850041279259247627818343056115035009270338914390524876247402983502682873146253305402714458412991846914577283761539634572866256502124685505517529026255262021739858363216305094309182918093239609955665355210086768701877739907913441428927233584555143310130229234435104393549898149817990091414894301144031197840981644796858578535446803688040895245678904675805817906576835068715526577067249848981841424198838691671057636554043435509054525882541044745892221289109027848120125032674177150581022495971320070478909312765214966023051246201278491279394030733428763593084990147296821676351226136771374784487203264629294592807422714790214972869983428905013252342115455802106509414207886064190988804646695182350612123914595029348644206816199294805899054692954376739298415660555960912199367877299042027638229
2026-07-25 02:22:54 | steps=25579 | digits=1026 | max_val_digits=1026 | n=580628467210328878504496811110901248191027332440901032779761103829528649339460707009301680937805905474943991687099263463774270540022303232701662390983421447736591991345565924298564441689713254203972186234466479104458873205350590962203046861399925065483990277260212676647796336484379718689846047673114709890308081942098183073045840750443555212405795070532861653228821272372147541371407754477714205545403356938117889464218398430636749340299843186217152593043161803375749973604894526089973081627517552110461186365660314094718105288927165918956134013556655121793775249023991880599362645154964954886564280900452848429483807753213079291658541657444923709920460072476644292142806493832250683493068213472497602265465640273327276027731396856612021295390920659232140154806975045179447225563653415045611572503379312719779887107636018361628131974001629647495525275978898091972840244988655884581617745734597118199361157792403689091896528227733460627860851681013273242585567848388558483614912888361346363285807598726893049934664790938600349
2026-07-25 02:22:54 | steps=25743 | digits=1026 | max_val_digits=1026 | n=211014120618716438916483845999007791742510837540735892516344647611860797886020932532800023807552335947710092249193021935179939104491439858025538192175344506278818067985741145816937987662045707868613970992617496907594367826715881834002077049449505209609232194813255498678601435994493744606591355908273653855318433167343521036858154579711737772693209398662751721716722095582332553907478667862705424389222893503583594857822586011549795007679242853362780795935673976930563561934668588181511314122393169001049887846657076166789544556900357999033444359829181264999475299730220884908748621597216188406132312268305819564216408502274408505380663811391554357586851075536210744281059760847631600272632653766825254428275116207461626944657488558367687803030584250213017472358641669075758582589710003661034247950149331825614332776495533482785635042496944433404032477848667434707303804442904976015857903247498476768513988838407622411044295384873528426634449218089783060407406021869007184945556292107395969272559016338750123680703597275445591
2026-07-25 02:22:56 | steps=26279 | digits=1026 | max_val_digits=1027 | n=399879935277609612690884467528283339794026965267044279228406685599794430040345974541179596264554987848762340837764971874839382787891621822941791869000221120971603745610566844892379656149156045820310959723378592501116263951089630695955610480092152724067734281639931295400991089586659843485635696219419383254540054959748522189622347896659889980253763010856193947118716089545958314786075630191202137562454042183350222209815572712455939607560795903546114611537410186778013708353304529400217148135433768285720784110565452093619604452277943448554703094657853577750214910720392711999194839965544206357777045532580866119299224137319892690973895433508921442613357732642457570851128154264183139072055128593910228310244547302248549485129348807200267247978078481591582941874786384882994367833385994205760068777419968404406823081914561909735906595823671929050723904251177083998588526693218423562099542005007299735956814392804239846938766285448736302411455848697299113049928986611373807576958015611111813742980785035647346158463730798363035
2026-07-25 02:22:56 | steps=26484 | digits=1026 | max_val_digits=1026 | n=120336466723985222638797561163573683911247387752853487137406295775707846194273569118421014860410063698929196076468149693527552460793823180987079935994802255288092875931896416221031809868986310607245047265768754585918284859344364327468317710051288453971276764667828862791686737953670038106704203863606347252369498050335305276136707519217458183336137955165201644666969003454295549512286949179391253488680336755961643023521434450962376621424062514569442432221904537128365815432805825989103973310478978720974066874325997586913916761448063676723404968949084287698285676446667908682551793982496344129778286091537695056590422557815333357990853706654941228208795632924270720276419518791492405560137705718512975117802341108984421121435330339163815188356846116248861682234557975664138413401851906198348274129829290654746332614890915270063876603369568710543925354570184865137008326505231124052903455836293592471631562033722040488559282124675339014699149691584939986922885501744407754530694672362308130150179832502024836953211132233002807
2026-07-25 02:22:56 | steps=26673 | digits=1026 | max_val_digits=1026 | n=847552487128550242324313758109075743476740008106088236631001416220219295189665608809111837122990018106862045389831627405595962114868592039691450743199007057813839905864235025085387144922610178698359931167452271448059342349487582786202818616795724157779970272919028988617577276240739588636498551039566708990309515960215790692562671925805938127718890555812912831389180776676752491013502329944072922339215885734588647430722013502304267941172918167253233938079593136308423248641999221099643095371550511084174751588491973884632538917307853478045166645053060563783825444264703703509173935750893227873348536423386538214112434427788834237387268460628068692411918050264043952722857046661813178741137860566136022140582743288194531313550365160348879910124417389505870685451305618000751094762778731305113055122027387648149721221633087571910713238027033837426686888242222190135619058689921343671472458912077460496618282101190545403639383524845564421881590250320520297558975675237530630069499154787259411666961391836715735230153083816261715
2026-07-25 02:23:09 | steps=26936 | digits=1026 | max_val_digits=1027 | n=597190035435171036410900729385684187526744469989479967932342265658591489474496202127690026786583202137707675362873144683066324897225305210463897076017834871183880592436801969860993230826779690230797784153843723153997436004771396869440435444058892051387336932308442004875513783055913264445409249728401392611795918436064577146065419360302883375579424937061987664589103437493966058071038104798239146949440727665861106133820522198135736287664711626873047859447363152753862750120327322384044164741843642216519517178326274657584321735767817220922842927381880888457649234542568487689299947728277683159423451889077984061939450338669076447637567871570270876206359580205166063460239210410510551169734121678101612846408563892267927405908297711276120063818886290762153779430274195167249129350481625277091909161282955133576798472151474919013187318802430726102740587338746248555638835421156933482686161019514827115121493319222901443194304617687413943198538079707136425992751798843545768381139068047051655709687354874007849570730236435277693
