k,modulus,merging_count,fraction
3,8,1,0.1250
4,16,3,0.1875
5,32,8,0.2500
6,64,18,0.2813
7,128,39,0.3047
8,256,82,0.3203
9,512,170,0.3320
10,1024,351,0.3428
11,2048,721,0.3521
12,4096,1476,0.3604
13,8192,3012,0.3677
14,16384,6130,0.3741
15,32768,12450,0.3799
16,65536,25241,0.3851
17,131072,51105,0.3899
18,262144,103358,0.3943
19,524288,208840,0.3983
20,1048576,421643,0.4021
21,2097152,850737,0.4057
22,4194304,1715546,0.4090
23,8388608,3457791,0.4122
24,16777216,6966495,0.4152
25,33554432,14030369,0.4181
26,67108864,28247507,0.4209
27,134217728,56854178,0.4236
