k,diff
2,192
3,192
4,161
5,24
6,342
7,99
8,174
9,223
10,298
11,24
12,427
13,24
14,94
15,608
16,-379
17,427
18,24
19,161
20,275
21,466
22,-418
23,466
24,647
25,24
26,24
27,647
28,-599
29,647
30,24
31,24
32,24
33,24
34,921
35,24
36,24
37,24
38,391
39,572
40,-524
41,647
42,-51
43,99
44,391
45,24
46,24
47,267
48,-219
49,1040
50,24
51,24
52,24
53,24
54,802
55,-281
56,24
57,329
58,24
59,1071
60,-1023
61,24
62,1071
63,657
64,-609
65,657
66,24
67,24
68,24
69,456
70,-408
71,1371
72,24
73,24
74,24
75,24
76,24
77,784
78,24
79,342
80,24
81,24
82,-294
83,342
84,678
85,-948
86,996
87,24
88,471
89,24
90,324
91,-276
92,24
93,324
94,24
95,24
96,24
97,1319
98,24
99,223
100,24
101,24
102,24
103,24
104,24
105,24
106,24
107,24
108,709
109,24
110,24
111,1190
112,24
113,-643
114,691
115,-643
116,691
117,24
118,497
119,-449
120,24
121,2477
122,-1956
123,2004
124,24
125,-922
126,24
127,24
128,970
129,-922
130,24
131,970
132,24
133,1270
134,24
135,-493
136,541
137,24
138,-493
139,24
140,913
141,-865
142,913
143,518
144,1058
145,-1010
146,1058
147,24
148,24
149,24
150,24
151,24
152,24
153,24
154,24
155,24
156,1668
157,24
158,24
159,24
160,24
161,24
162,939
163,24
164,24
165,24
166,24
167,24
168,324
169,-276
170,24
171,24
172,2839
173,24
174,24
175,-1284
176,24
177,24
178,24
179,24
180,1332
181,479
182,24
183,24
184,24
185,24
186,24
187,24
188,24
189,24
190,2061
191,24
192,24
193,24
194,24
195,24
196,24
197,24
198,311
199,-263
200,24
201,311
202,24
203,24
204,24
205,24
206,24
207,24
208,24
209,1089
210,24
211,24
212,24
213,2901
214,24
215,24
216,24
217,24
218,24
219,24
220,24
221,24
222,24
223,24
224,1637
225,24
226,-1589
227,1637
228,24
229,24
230,24
231,24
232,24
233,24
234,24
235,24
236,24
237,24
238,24
239,24
240,24
241,24
242,24
243,24
244,2335
245,-2287
246,2335
247,24
248,24
249,24
250,24
251,24
252,24
253,24
254,24
255,24
256,24
257,24
258,24
259,24
260,24
261,24
262,24
263,24
264,1394
265,24
266,24
267,24
268,3157
269,24
270,24
271,24
272,24
273,24
274,24
275,24
276,24
277,24
278,24
279,24
280,24
281,24
282,24
283,24
284,24
285,24
286,3312
287,24
288,24
289,24
290,-992
291,24
292,24
293,24
294,24
295,890
296,24
297,24
298,24
299,24
