name,x,L,late_top_val,late_top_freq_pct
L=4 all-ones,15,4,4,63.3
L=4 alternating,10,4,4,100.0
L=4 single-bit-pair (top+bottom),9,4,4,56.7
L=4 random,9,4,4,56.7
L=4 random,11,4,4,60.0
L=5 all-ones,31,5,5,83.3
L=5 alternating,21,5,5,50.0
L=5 single-bit-pair (top+bottom),17,5,5,60.0
L=5 random,25,5,5,70.0
L=5 random,31,5,5,83.3
L=6 all-ones,63,6,6,80.0
L=6 alternating,42,6,6,100.0
L=6 single-bit-pair (top+bottom),33,6,6,93.3
L=6 random,49,6,6,100.0
L=6 random,53,6,6,40.0
L=7 all-ones,127,7,7,73.3
L=7 alternating,85,7,7,66.7
L=7 single-bit-pair (top+bottom),65,7,7,60.0
L=7 random,119,7,7,53.3
L=7 random,125,7,7,63.3
L=8 all-ones,255,8,8,53.3
L=8 alternating,170,8,8,100.0
L=8 single-bit-pair (top+bottom),129,8,8,53.3
L=8 random,141,8,8,60.0
L=8 random,241,8,8,53.3
L=9 all-ones,511,9,9,60.0
L=9 alternating,341,9,9,50.0
L=9 single-bit-pair (top+bottom),257,9,9,50.0
L=9 random,313,9,9,63.3
L=9 random,485,9,9,63.3
L=10 all-ones,1023,10,10,50.0
L=10 alternating,682,10,10,100.0
L=10 single-bit-pair (top+bottom),513,10,10,40.0
L=10 random,819,10,10,70.0
L=10 random,831,10,10,63.3
L=11 all-ones,2047,11,11,63.3
L=11 alternating,1365,11,11,83.3
L=11 single-bit-pair (top+bottom),1025,11,11,60.0
L=11 random,1593,11,11,53.3
L=11 random,1455,11,11,73.3
L=12 all-ones,4095,12,12,53.3
L=12 alternating,2730,12,12,100.0
L=12 single-bit-pair (top+bottom),2049,12,12,50.0
L=12 random,3653,12,12,73.3
L=12 random,3221,12,12,66.7
L=13 all-ones,8191,13,13,60.0
L=13 alternating,5461,13,13,70.0
L=13 single-bit-pair (top+bottom),4097,13,13,53.3
L=13 random,6339,13,13,53.3
L=13 random,7547,13,13,56.7
L=14 all-ones,16383,14,14,70.0
L=14 alternating,10922,14,14,100.0
L=14 single-bit-pair (top+bottom),8193,14,14,50.0
L=14 random,14177,14,14,56.7
L=14 random,14553,14,14,56.7
L=15 all-ones,32767,15,15,60.0
L=15 alternating,21845,15,15,66.7
L=15 single-bit-pair (top+bottom),16385,15,15,70.0
L=15 random,28969,15,15,60.0
L=15 random,24427,15,15,56.7
L=16 all-ones,65535,16,16,66.7
L=16 alternating,43690,16,16,100.0
L=16 single-bit-pair (top+bottom),32769,16,16,63.3
L=16 random,57377,16,16,53.3
L=16 random,58101,16,16,73.3
L=17 all-ones,131071,17,17,56.7
L=17 alternating,87381,17,17,76.7
L=17 single-bit-pair (top+bottom),65537,17,17,70.0
L=17 random,103975,17,17,60.0
L=17 random,94443,17,17,80.0
L=18 all-ones,262143,18,18,63.3
L=18 alternating,174762,18,18,100.0
L=18 single-bit-pair (top+bottom),131073,18,18,73.3
L=18 random,162521,18,18,70.0
L=18 random,131405,18,18,73.3
L=19 all-ones,524287,19,19,53.3
L=19 alternating,349525,19,19,70.0
L=19 single-bit-pair (top+bottom),262145,19,19,43.3
L=19 random,423153,19,19,50.0
L=19 random,283305,19,19,73.3
L=20 all-ones,1048575,20,20,56.7
L=20 alternating,699050,20,20,100.0
L=20 single-bit-pair (top+bottom),524289,20,20,73.3
L=20 random,582345,20,20,63.3
L=20 random,674885,20,20,56.7
L=21 all-ones,2097151,21,21,60.0
L=21 alternating,1398101,21,21,56.7
L=21 single-bit-pair (top+bottom),1048577,21,21,76.7
L=21 random,1905013,21,21,73.3
L=21 random,1151391,21,21,66.7
L=22 all-ones,4194303,22,22,60.0
L=22 alternating,2796202,22,22,100.0
L=22 single-bit-pair (top+bottom),2097153,22,22,56.7
L=22 random,3040147,22,22,63.3
L=22 random,2121245,22,22,73.3
L=23 all-ones,8388607,23,23,50.0
L=23 alternating,5592405,23,23,60.0
L=23 single-bit-pair (top+bottom),4194305,23,23,53.3
L=23 random,7611667,23,23,73.3
L=23 random,7931277,23,23,70.0
L=24 all-ones,16777215,24,24,56.7
L=24 alternating,11184810,24,24,100.0
L=24 single-bit-pair (top+bottom),8388609,24,24,50.0
L=24 random,14136299,24,24,60.0
L=24 random,12501431,24,24,73.3
