bits,approx_log10_magnitude,match,samples,agreement_rate
10,3,639,3000,0.2130
18,5,990,3000,0.3300
31,9,1199,3000,0.3997
53,16,1487,3000,0.4957
91,27,1646,3000,0.5487
155,47,1843,3000,0.6143
264,79,2058,3000,0.6860
449,135,2222,3000,0.7407
764,230,2371,3000,0.7903
1299,391,2503,3000,0.8343
2209,665,2590,3000,0.8633
3756,1131,2683,3000,0.8943
6386,1922,2772,3000,0.9240
10857,3268,2829,3000,0.9430
18457,5556,2848,3000,0.9493
31377,9445,2885,3000,0.9617
53341,16057,2919,3000,0.9730
90680,27297,2941,3000,0.9803
